"picture src","balance-text","layout 2","layout 3"
"https://www.moma.org/media/W1siZiIsIjU2ODYyNCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=522b1c9f518befcd","Charline von Heyl","","Old Words"
"https://www.moma.org/media/W1siZiIsIjU2ODYyNSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=e4bfb04342ac813c","Charline von Heyl","","Villa Curonia"
"https://www.moma.org/media/W1siZiIsIjU2ODYyMiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=c14c61906ad09dde","Charline von Heyl","","Metals Metals"
"https://www.moma.org/media/W1siZiIsIjU2ODYyMyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=17f86584d2dac15f","Charline von Heyl","",""
"https://www.moma.org/media/W1siZiIsIjU2ODYyMSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=793937c88307c40e","Charline von Heyl","",""
"https://www.moma.org/media/W1siZiIsIjU2ODYyMCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=ab463019eb9ddd86","Charline von Heyl","","Grand Panjandrum"
"https://www.moma.org/media/W1siZiIsIjU2ODYxOSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=b16a481a8bbc19d9","Charline von Heyl","","Gorgon"
"https://www.moma.org/media/W1siZiIsIjU2ODYxNiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=2941463179fbe36f","Charline von Heyl","",""
"https://www.moma.org/media/W1siZiIsIjU2ODcyNSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=bae6388b8d7de841","Charline von Heyl","",""
"https://www.moma.org/media/W1siZiIsIjU4OTI5NiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=3df2ae09b9c07bce","","Christopher Wool",""
"https://www.moma.org/media/W1siZiIsIjU4OTI5NyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=ae506bbc39633920","","Christopher Wool",""
"https://www.moma.org/media/W1siZiIsIjU4OTI5OCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=ece6c4a50006cd6a","","Christopher Wool",""
"https://www.moma.org/media/W1siZiIsIjU4OTI5OSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=9c6338cf389de37b","","Christopher Wool",""
"https://www.moma.org/media/W1siZiIsIjU4OTMwMCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=87ebbac22c02481d","","Christopher Wool",""
"https://www.moma.org/media/W1siZiIsIjU4OTMwMSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=24ffa39b57698e57","","Christopher Wool",""
"https://www.moma.org/media/W1siZiIsIjU4OTMwMiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=ec994c9b0cb889c1","","Christopher Wool",""
"https://www.moma.org/media/W1siZiIsIjU4OTMwMyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=bae99f2418ed7464","","Christopher Wool",""
"https://www.moma.org/media/W1siZiIsIjU4OTMwNCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=3db9febca73f0fd3","","Christopher Wool",""
"https://www.moma.org/media/W1siZiIsIjU4MzI1MCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=7e615027c04b20ef","","Virgil Abloh",""
"https://www.moma.org/media/W1siZiIsIjU0MDYwMyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=f498b60b511ccad5","","Marina Adams",""
"https://www.moma.org/media/W1siZiIsIjU0MDYwNSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDE5OXgxOTlcdTAwM2UiXV0.jpg?sha=460796e298bf9a21","","Marina Adams",""
